emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,46.41588833612782,0.8305004721435316,0.8516949152542372
skipgram,1,2,3.593813663804626,0.9367720465890182,0.9552238805970148
cbow,1,2,599.4842503189421,0.5280088740987243,0.4975124378109453
SVD,1,3,7742.636826811277,0.8314447592067988,0.8389830508474576
skipgram,1,3,46.41588833612782,0.93732667775929,0.965174129353234
cbow,1,3,100000.0,0.764281752634498,0.835820895522388
SVD,1,4,0.0215443469003188,0.8101983002832861,0.8177966101694916
skipgram,1,4,0.2782559402207126,0.9118136439267888,0.9402985074626866
cbow,1,4,46.41588833612782,0.8447032723239046,0.8855721393034826
SVD,1,5,46.41588833612782,0.7549575070821529,0.7754237288135594
skipgram,1,5,0.2782559402207126,0.8419301164725458,0.8756218905472637
cbow,1,5,7742.636826811277,0.7975596228508042,0.8308457711442786
SVD,1,6,0.0016681005372,0.7110481586402266,0.711864406779661
skipgram,1,6,46.41588833612782,0.7814753189129229,0.8258706467661692
cbow,1,6,599.4842503189421,0.8302828618968386,0.8706467661691543
SVD,1,7,599.4842503189421,0.7247403210576016,0.7330508474576272
skipgram,1,7,599.4842503189421,0.8230726566833056,0.8606965174129353
cbow,1,7,599.4842503189421,0.8696616749861342,0.9054726368159204
SVD,1,8,7742.636826811277,0.771010387157696,0.8008474576271186
skipgram,1,8,7742.636826811277,0.8613422074320577,0.8905472636815921
cbow,1,8,100000.0,0.8874098724348308,0.9253731343283582
SVD,2,2,7742.636826811277,0.8484419263456091,0.8728813559322034
skipgram,2,2,7742.636826811277,0.9284525790349416,0.9402985074626866
cbow,2,2,46.41588833612782,0.6932889628397116,0.6915422885572139
SVD,2,3,0.0016681005372,0.823890462700661,0.826271186440678
skipgram,2,3,100000.0,0.7670549084858569,0.7512437810945274
cbow,2,3,7742.636826811277,0.6827509706045479,0.6666666666666666
SVD,2,4,0.0016681005372,0.7370160528800755,0.7457627118644068
skipgram,2,4,599.4842503189421,0.7864669994453688,0.8258706467661692
cbow,2,4,46.41588833612782,0.7104825291181365,0.7711442786069652
SVD,2,5,0.0016681005372,0.6841359773371105,0.6864406779661016
skipgram,2,5,599.4842503189421,0.8574597892401553,0.8805970149253731
cbow,2,5,599.4842503189421,0.8080976150859678,0.8507462686567164
SVD,2,6,100000.0,0.7606232294617564,0.7838983050847458
skipgram,2,6,100000.0,0.8851913477537438,0.9104477611940298
cbow,2,6,100000.0,0.8713255684969495,0.9054726368159204
SVD,2,7,100000.0,0.6949952785646837,0.7161016949152542
skipgram,2,7,100000.0,0.7992235163616195,0.8407960199004975
cbow,2,7,100000.0,0.7958957293399889,0.8407960199004975
SVD,2,8,0.0215443469003188,0.6718602455146364,0.6822033898305084
skipgram,2,8,3.593813663804626,0.7215751525235718,0.7711442786069652
cbow,2,8,3.593813663804626,0.7215751525235718,0.7711442786069652
SVD,3,2,0.0016681005372,0.8465533522190746,0.864406779661017
skipgram,3,2,7742.636826811277,0.9107043815862452,0.9104477611940298
cbow,3,2,7742.636826811277,0.9284525790349416,0.945273631840796
SVD,3,3,0.0016681005372,0.777148253068933,0.8008474576271186
skipgram,3,3,0.2782559402207126,0.5435385468663338,0.5373134328358209
cbow,3,3,7742.636826811277,0.8935108153078203,0.8905472636815921
SVD,3,4,0.0215443469003188,0.6874409820585458,0.690677966101695
skipgram,3,4,7742.636826811277,0.8408208541320022,0.8756218905472637
cbow,3,4,7742.636826811277,0.8435940099833611,0.8706467661691543
SVD,3,5,100000.0,0.7379603399433428,0.7542372881355932
skipgram,3,5,100000.0,0.8646699944536883,0.9054726368159204
cbow,3,5,100000.0,0.8618968386023295,0.900497512437811
SVD,3,6,0.0215443469003188,0.6742209631728046,0.6822033898305084
skipgram,3,6,3.593813663804626,0.7215751525235718,0.7711442786069652
cbow,3,6,3.593813663804626,0.7215751525235718,0.7711442786069652
SVD,3,7,0.0215443469003188,0.6718602455146364,0.6822033898305084
skipgram,3,7,3.593813663804626,0.7215751525235718,0.7711442786069652
cbow,3,7,3.593813663804626,0.7215751525235718,0.7711442786069652
SVD,3,8,0.0215443469003188,0.6713881019830028,0.6822033898305084
skipgram,3,8,46.41588833612782,0.7215751525235718,0.7711442786069652
cbow,3,8,3.593813663804626,0.7215751525235718,0.7711442786069652
SVD,4,2,0.0016681005372,0.8418319169027384,0.864406779661017
skipgram,4,2,46.41588833612782,0.9023849140321686,0.9353233830845772
cbow,4,2,46.41588833612782,0.8164170826400444,0.7960199004975125
SVD,4,3,0.0016681005372,0.7752596789423984,0.7966101694915254
skipgram,4,3,599.4842503189421,0.7798114254021076,0.8258706467661692
cbow,4,3,599.4842503189421,0.8058790904048807,0.8507462686567164
SVD,4,4,0.0215443469003188,0.704438149197356,0.7076271186440678
skipgram,4,4,100000.0,0.8613422074320577,0.8905472636815921
cbow,4,4,100000.0,0.8674431503050472,0.900497512437811
SVD,4,5,0.0215443469003188,0.6784702549575071,0.6822033898305084
skipgram,4,5,100000.0,0.7371048252911814,0.7611940298507462
cbow,4,5,100000.0,0.7376594564614531,0.7611940298507462
SVD,4,6,0.0215443469003188,0.6732766761095373,0.6822033898305084
skipgram,4,6,3.593813663804626,0.7215751525235718,0.7711442786069652
cbow,4,6,3.593813663804626,0.7215751525235718,0.7711442786069652
SVD,4,7,0.0215443469003188,0.6718602455146364,0.6822033898305084
skipgram,4,7,3.593813663804626,0.7215751525235718,0.7711442786069652
cbow,4,7,3.593813663804626,0.7215751525235718,0.7711442786069652
SVD,4,8,0.0215443469003188,0.67233238904627,0.6822033898305084
skipgram,4,8,46.41588833612782,0.7215751525235718,0.7711442786069652
cbow,4,8,46.41588833612782,0.7215751525235718,0.7711442786069652
SVD,5,2,0.0016681005372,0.833805476864967,0.8432203389830508
skipgram,5,2,599.4842503189421,0.8596783139212424,0.8955223880597015
cbow,5,2,7742.636826811277,0.8985024958402662,0.9253731343283582
SVD,5,3,0.0215443469003188,0.7478753541076487,0.7584745762711864
skipgram,5,3,599.4842503189421,0.8225180255130339,0.8557213930348259
cbow,5,3,599.4842503189421,0.78369384359401,0.8159203980099502
SVD,5,4,0.0215443469003188,0.6949952785646837,0.6949152542372882
skipgram,5,4,100000.0,0.819744869661675,0.8557213930348259
cbow,5,4,100000.0,0.8130892956184138,0.845771144278607
SVD,5,5,0.0215443469003188,0.676109537299339,0.6822033898305084
skipgram,5,5,3.593813663804626,0.7232390460343872,0.7711442786069652
cbow,5,5,3.593813663804626,0.7243483083749307,0.7761194029850746
SVD,5,6,0.0215443469003188,0.6732766761095373,0.6822033898305084
skipgram,5,6,3.593813663804626,0.7215751525235718,0.7711442786069652
