emb_type,m,n,best_C,train_acc,test_acc
SVD,1,2,0.2782559402207126,0.7444535743631882,0.7573529411764706
skipgram,1,2,1e-05,0.9028697571743928,0.8712871287128713
cbow,1,2,1e-05,0.9028697571743928,0.8712871287128713
SVD,1,3,0.2782559402207126,0.7452752670501233,0.7573529411764706
skipgram,1,3,1e-05,0.9028697571743928,0.8712871287128713
cbow,1,3,1e-05,0.9028697571743928,0.8712871287128713
SVD,1,4,0.2782559402207126,0.7460969597370584,0.7573529411764706
skipgram,1,4,1e-05,0.9028697571743928,0.8712871287128713
cbow,1,4,1e-05,0.9028697571743928,0.8712871287128713
SVD,1,5,0.2782559402207126,0.7452752670501233,0.7573529411764706
skipgram,1,5,1e-05,0.9028697571743928,0.8712871287128713
cbow,1,5,1e-05,0.9028697571743928,0.8712871287128713
SVD,1,6,1e-05,0.7378800328677074,0.7573529411764706
skipgram,1,6,1e-05,0.9028697571743928,0.8712871287128713
cbow,1,6,1e-05,0.9028697571743928,0.8712871287128713
SVD,1,7,1e-05,0.7378800328677074,0.7573529411764706
skipgram,1,7,1e-05,0.9028697571743928,0.8712871287128713
cbow,1,7,1e-05,0.9028697571743928,0.8712871287128713
SVD,1,8,1e-05,0.7378800328677074,0.7573529411764706
skipgram,1,8,1e-05,0.9028697571743928,0.8712871287128713
cbow,1,8,1e-05,0.9028697571743928,0.8712871287128713
SVD,2,2,46.41588833612782,0.7444535743631882,0.7573529411764706
skipgram,2,2,1e-05,0.9028697571743928,0.8712871287128713
cbow,2,2,1e-05,0.9028697571743928,0.8712871287128713
SVD,2,3,0.2782559402207126,0.7460969597370584,0.7573529411764706
skipgram,2,3,1e-05,0.9028697571743928,0.8712871287128713
cbow,2,3,1e-05,0.9028697571743928,0.8712871287128713
SVD,2,4,1e-05,0.7378800328677074,0.7573529411764706
skipgram,2,4,1e-05,0.9028697571743928,0.8712871287128713
cbow,2,4,1e-05,0.9028697571743928,0.8712871287128713
SVD,2,5,1e-05,0.7378800328677074,0.7573529411764706
skipgram,2,5,1e-05,0.9028697571743928,0.8712871287128713
cbow,2,5,1e-05,0.9028697571743928,0.8712871287128713
SVD,2,6,0.2782559402207126,0.7452752670501233,0.7573529411764706
skipgram,2,6,1e-05,0.9028697571743928,0.8712871287128713
cbow,2,6,1e-05,0.9028697571743928,0.8712871287128713
SVD,2,7,3.593813663804626,0.7477403451109285,0.7573529411764706
skipgram,2,7,1e-05,0.9028697571743928,0.8712871287128713
cbow,2,7,1e-05,0.9028697571743928,0.8712871287128713
SVD,2,8,3.593813663804626,0.7477403451109285,0.7573529411764706
skipgram,2,8,1e-05,0.9028697571743928,0.8712871287128713
cbow,2,8,1e-05,0.9028697571743928,0.8712871287128713
SVD,3,2,0.2782559402207126,0.7485620377978636,0.7720588235294118
skipgram,3,2,1e-05,0.9028697571743928,0.8712871287128713
cbow,3,2,1e-05,0.9028697571743928,0.8712871287128713
SVD,3,3,3.593813663804626,0.7460969597370584,0.7573529411764706
skipgram,3,3,1e-05,0.9028697571743928,0.8712871287128713
cbow,3,3,1e-05,0.9028697571743928,0.8712871287128713
SVD,3,4,1e-05,0.7378800328677074,0.7573529411764706
skipgram,3,4,1e-05,0.9028697571743928,0.8712871287128713
cbow,3,4,1e-05,0.9028697571743928,0.8712871287128713
SVD,3,5,3.593813663804626,0.7460969597370584,0.7573529411764706
skipgram,3,5,1e-05,0.9028697571743928,0.8712871287128713
cbow,3,5,1e-05,0.9028697571743928,0.8712871287128713
SVD,3,6,3.593813663804626,0.7469186524239935,0.7573529411764706
skipgram,3,6,1e-05,0.9028697571743928,0.8712871287128713
cbow,3,6,1e-05,0.9028697571743928,0.8712871287128713
SVD,3,7,3.593813663804626,0.7477403451109285,0.7573529411764706
skipgram,3,7,1e-05,0.9028697571743928,0.8712871287128713
cbow,3,7,1e-05,0.9028697571743928,0.8712871287128713
SVD,3,8,3.593813663804626,0.7477403451109285,0.7573529411764706
skipgram,3,8,1e-05,0.9028697571743928,0.8712871287128713
cbow,3,8,1e-05,0.9028697571743928,0.8712871287128713
SVD,4,2,0.2782559402207126,0.7469186524239935,0.7647058823529411
skipgram,4,2,1e-05,0.9028697571743928,0.8712871287128713
cbow,4,2,1e-05,0.9028697571743928,0.8712871287128713
SVD,4,3,1e-05,0.7378800328677074,0.7573529411764706
skipgram,4,3,1e-05,0.9028697571743928,0.8712871287128713
cbow,4,3,1e-05,0.9028697571743928,0.8712871287128713
SVD,4,4,0.2782559402207126,0.7452752670501233,0.7573529411764706
skipgram,4,4,1e-05,0.9028697571743928,0.8712871287128713
cbow,4,4,1e-05,0.9028697571743928,0.8712871287128713
SVD,4,5,46.41588833612782,0.7469186524239935,0.7573529411764706
skipgram,4,5,1e-05,0.9028697571743928,0.8712871287128713
cbow,4,5,1e-05,0.9028697571743928,0.8712871287128713
SVD,4,6,3.593813663804626,0.7469186524239935,0.7573529411764706
skipgram,4,6,1e-05,0.9028697571743928,0.8712871287128713
cbow,4,6,1e-05,0.9028697571743928,0.8712871287128713
SVD,4,7,3.593813663804626,0.7477403451109285,0.7573529411764706
skipgram,4,7,1e-05,0.9028697571743928,0.8712871287128713
cbow,4,7,1e-05,0.9028697571743928,0.8712871287128713
SVD,4,8,3.593813663804626,0.7477403451109285,0.7573529411764706
skipgram,4,8,1e-05,0.9028697571743928,0.8712871287128713
cbow,4,8,1e-05,0.9028697571743928,0.8712871287128713
SVD,5,2,0.2782559402207126,0.7460969597370584,0.7573529411764706
skipgram,5,2,1e-05,0.9028697571743928,0.8712871287128713
cbow,5,2,1e-05,0.9028697571743928,0.8712871287128713
SVD,5,3,1e-05,0.7378800328677074,0.7573529411764706
skipgram,5,3,1e-05,0.9028697571743928,0.8712871287128713
cbow,5,3,1e-05,0.9028697571743928,0.8712871287128713
SVD,5,4,3.593813663804626,0.7477403451109285,0.7573529411764706
skipgram,5,4,1e-05,0.9028697571743928,0.8712871287128713
cbow,5,4,1e-05,0.9028697571743928,0.8712871287128713
SVD,5,5,0.2782559402207126,0.7452752670501233,0.7573529411764706
skipgram,5,5,1e-05,0.9028697571743928,0.8712871287128713
cbow,5,5,1e-05,0.9028697571743928,0.8712871287128713
