emb_type,m,n,best_C,train_acc,test_acc
svd,1,2,1000.0,0.8607594936708861,0.8366336633663366
skipgram,1,2,0.001,0.5189873417721519,0.5495049504950495
cbow,1,2,0.001,0.5189873417721519,0.5495049504950495
svd,1,3,1000.0,0.8414969730324711,0.8465346534653465
skipgram,1,3,1000.0,0.6554760594386351,0.6089108910891089
cbow,1,3,1000.0,0.6906989543203081,0.6485148514851485
svd,1,4,1000.0,0.8354430379746836,0.8465346534653465
skipgram,1,4,1000.0,0.7908640616400661,0.7326732673267327
cbow,1,4,1000.0,0.7716015410016511,0.7277227722772277
svd,1,5,1000.0,0.8183819482663731,0.8217821782178217
skipgram,1,5,1000.0,0.782608695652174,0.7475247524752475
cbow,1,5,1000.0,0.7611447440836544,0.693069306930693
svd,1,6,215.44346900318823,0.8084755090809026,0.7722772277227723
skipgram,1,6,215.44346900318823,0.7798569069895432,0.7277227722772277
cbow,1,6,215.44346900318823,0.7710511832691249,0.7178217821782178
svd,1,7,1000.0,0.7501375894331316,0.6683168316831684
skipgram,1,7,1000.0,0.7341772151898734,0.7128712871287128
cbow,1,7,1000.0,0.7352779306549257,0.7178217821782178
svd,1,8,10.0,0.7484865162355531,0.6732673267326733
skipgram,1,8,10.0,0.7380297193175565,0.7524752475247525
cbow,1,8,10.0,0.7358282883874518,0.7475247524752475
svd,1,9,215.44346900318823,0.7413318657127133,0.7128712871287128
skipgram,1,9,46.41588833612773,0.7363786461199779,0.7524752475247525
cbow,1,9,46.41588833612773,0.7374793615850302,0.7475247524752475
svd,1,10,215.44346900318823,0.7314254265272427,0.7376237623762376
skipgram,1,10,0.4641588833612777,0.7303247110621904,0.7475247524752475
cbow,1,10,1000.0,0.7308750687947165,0.7376237623762376
svd,1,11,46.41588833612773,0.7314254265272427,0.7425742574257426
skipgram,1,11,215.44346900318823,0.7314254265272427,0.7475247524752475
cbow,1,11,46.41588833612773,0.7314254265272427,0.7425742574257426
svd,1,12,46.41588833612773,0.732526141992295,0.7425742574257426
skipgram,1,12,1000.0,0.7319757842597688,0.7425742574257426
cbow,1,12,2.154434690031882,0.7303247110621904,0.7425742574257426
svd,1,13,10.0,0.7314254265272427,0.7425742574257426
skipgram,1,13,215.44346900318823,0.7314254265272427,0.7425742574257426
cbow,1,13,46.41588833612773,0.7314254265272427,0.7425742574257426
svd,1,14,46.41588833612773,0.7314254265272427,0.7425742574257426
skipgram,1,14,46.41588833612773,0.7314254265272427,0.7425742574257426
cbow,1,14,46.41588833612773,0.7314254265272427,0.7425742574257426
svd,1,15,46.41588833612773,0.7314254265272427,0.7425742574257426
skipgram,1,15,46.41588833612773,0.7314254265272427,0.7425742574257426
cbow,1,15,46.41588833612773,0.7314254265272427,0.7425742574257426
svd,1,16,46.41588833612773,0.7314254265272427,0.7425742574257426
skipgram,1,16,46.41588833612773,0.7314254265272427,0.7425742574257426
cbow,1,16,46.41588833612773,0.7314254265272427,0.7425742574257426
svd,1,17,1000.0,0.7314254265272427,0.7425742574257426
skipgram,1,17,1000.0,0.7314254265272427,0.7425742574257426
cbow,1,17,1000.0,0.7314254265272427,0.7425742574257426
svd,1,18,215.44346900318823,0.7314254265272427,0.7425742574257426
skipgram,1,18,215.44346900318823,0.7314254265272427,0.7425742574257426
